Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1143122;2НДФЛ;Ремонт;1;0.3;мужской;1;0;высшее;менеджер высшего звена;>250;0;112;48;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143142;2НДФЛ;Ремонт;1;0.26;мужской;0;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143162;Форма банка (без печати работодателя);Ремонт;1;0.53;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;192;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143182;Форма банка (без печати работодателя);Ремонт;1;0.2;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;287;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143202;Свободная форма с печатью работодателя;Ремонт;0;0.32;женский;0;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>250;0;63;43;Торговля;ООО;гражданский брак;2;0;0;0;0;0.012605042;1;1;1;0;0.5;7;7;235;14;5;0;2;74;1;0;0;0;0;0;0
2;1143222;Форма банка (без печати работодателя);Ремонт;0;0.55;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;169;41;Другое;Государственное предприятие;женат / замужем;6;3;1;1;1;0.007518797;0;0;0;0;0.2941176471;6;11;264;17;3;1;9;112;1;0;0;0;0;0;0
2;1143242;Поступление зарплаты на счет;Ремонт;1;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;< 50;0;167;52;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;2;0;0;0.6666666667;2;1;38;3;1;0;4;46;0;0;0;0;0;0;0
2;1143262;2НДФЛ;Ремонт;1;0.34;женский;0;0;высшее;менеджер высшего звена;< 50;0;16;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143282;2НДФЛ;Ремонт;1;0.52;женский;0;0;среднее-специальное;специалист;>250;0;56;36;Торговля;ОАО;холост / не замужем;2;2;1;0;0;0;1;0;0;0;1;2;0;37;2;1;0;7;32;0;0;0;0;0;0;0
2;1143302;Форма банка (без печати работодателя);Ремонт;1;0.55;женский;0;0;среднее-специальное;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143322;2НДФЛ;Ремонт;1;0.56;мужской;0;0;среднее-специальное;менеджер среднего звена;>250;0;200;54;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143342;Форма банка (без печати работодателя);Покупка автомобиля;1;0.17;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143362;Форма банка (без печати работодателя);Ремонт;0;0.58;мужской;1;0;высшее;менеджер среднего звена;>250;0;47;30;Информационные технологии;ЗАО;женат / замужем;0;0;0;0;0;0.0490797546;1;0;0;0;0.5;4;4;155;8;1;0;8;83;1;1;0;0;0;0;0
2;1143382;Свободная форма с печатью работодателя;Ремонт;1;0.28;женский;2;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143402;Форма банка (без печати работодателя);Покупка автомобиля;1;0.55;мужской;0;0;высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143422;2НДФЛ;Ремонт;0;0.49;женский;1;0;высшее;менеджер среднего звена;>250;3;84;40;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1143442;2НДФЛ;Ремонт;0;0.48;женский;0;0;высшее;специалист;>250;3;15;31;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
